doc_id,discipline,text
349,computer science,"The assessment of the course focus on the process and ability. The course results are composed of the process assessment results and the course final assessment results, mainly based on the process examination.
1) Process assessment, including the usual assessment results of course learning (including classroom attendance, learning attitude, homework, classroom interaction, discussion, etc.), accounting for 20%, and the staged assessment results of the course (including teaching unit assessment, learning situation assessment, project assessment (task) teaching assessment, mid-term assessment, etc.), accounting for 30%.
2) For the final assessment, a closed-book written examination is recommended, accounting for 50% of the total."
350,computer science,"The assessment of the course focus on the process and ability. The course results are composed of the process assessment results and the course final assessment results, mainly based on the process examination.
1) Process assessment, including the usual assessment results of course learning (including classroom attendance, learning attitude, homework, classroom interaction, discussion, etc.), accounting for 20%, and the staged assessment results of the course (including teaching unit assessment, learning situation assessment, project (task) teaching assessment, mid-term assessment, etc.), accounting for 30%.
2) For the final assessment, a closed-book written examination is recommended, accounting for 50% of the total."
351,health science,"Implement a combination of diversified course assessment methods including process assessment, online and offline assessment:
Theoretical grades: final paper account for 60%.
Usual grades: 20% (10% for Learning Pass grades and 10% for homework)
Practical training results: 20% (5% for staged assessment, 10% for final assessment, and 5% for attitude assessment)."
352,health science,The assessment of this course is based on a combination of process assessment and summative assessment. The process assessment results account for 40% and the summative assessment scores account for 60%.
353,computer science,"Dominated by process assessment, supplemented by the final assessment, taking into account the assessment of the code of conduct.
The assessment of the entire course is recommended to be divided into two parts and three elements. The two parts are: usual assessment and final assessment. The usual assessment consists of two elements: practical training assessment and comprehensive quality assessment. The comprehensive quality includes homework scores, classroom questions, and attendance.
The proportion of the three assessment elements in the grades is: practical training and homework: 20%, usual stage test scores: 20%; comprehensive quality scores: 10%; final assessment: 50%. It is recommended to use the computer-based open-book operation examination method for the final assessment, focusing on the assessment of students' programming ability."
354,engineering, 60% of the process assessment and 40% of the comprehensive assessment.
355,computer science,"It is recommended to use a comprehensive assessment method combining final exam (50%), usual homework (20%),  usual attendance (20%), and usual answering questions (10%)."
356,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom activity, and attendance, accounting for 50% of the total score. The final assessment includes final theory exam and work design, accounting for 50% of the total score. "
357,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom activity, and attendance, accounting for 50% of the total score. The final assessment includes final theory exam and work design, accounting for 50% of the total score. "
358,food science,4. Assessment method: inspection. Course grade = classroom performance × 20% + project test × 30% + project assessment × 50%.
359,food science,"(1) This course is an inspection course, with a four-level system;                       
(2) Grading standard: usual grade 20% + physical fitness test 30% + final inspection 50%."
360,health science,"Implement a combination of process assessment, online and offline diversified assessment methods: 10% of the usual grades (online check-in, quick answer, discussion, etc.), 30% of the operational performance (30% of the staged assessment, 50% of the final assessment, 20% of the attitude assessment); homework practice 10% (online homework + offline homework), and the test score accounts for 50%."
361,health science,"combines process assessment and summative assessment: 50% of the usual process assessment (10% of class attendance, 10% of homework completion, 30% of quality assessment) + 50% of final assessment (course test paper score)"
362,health science,"Implement a combination of diversified course assessment methods including process assessment, online and offline assessment: final assessment 50% + process assessment 50% (homework 10%, practical training operation 30%, quality assessment 10%)"
363,health science,"Relying on the Xuetong platform, comprehensively evaluate students from the multi-dimensional assessment perspectives of political literacy, knowledge mastery, and skill operation; realize the whole process of assessment before, during, and after class; carry out student self-assessment, peer assessment, and dual-tutor assessment in a timely manner and other multi-subject assessment to achieve full participation in the assessment. That is, the comprehensive assessment method is used to conduct formative assessment of students, that is, the total score = usual performance (20%) + skill operation (30%) + final assessment score (closed book) (50%)."
364,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on examining students' ideals and beliefs, value orientation, political beliefs and social responsibility;
Knowledge and skills assessment, focusing on the mastery of knowledge and skills;
The total score is composed of the final assessment score (50%) + the usual score (20%) + the operation assessment (30%)
Final Exam: Closed Book Exam"
365,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on students' ideals and beliefs, value orientation, political beliefs and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
The total score is composed of the final assessment score (50%) + the usual score (20%) + the operation assessment (30%)
Final Exam: Closed Book Exam"
366,health science,"The content of the assessment includes:
The comprehensive quality performance of learning attitude, learning ability and communication ability, focusing on examining students' value orientation, political belief and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
The total score is composed of the final assessment score (50%) + the usual score (20%) + the operation assessment (30%)
Final Exam: Closed Book Exam"
367,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on students' ideals and beliefs, value orientation, political beliefs and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
The total score is composed of the final assessment score (50%) + the usual score (20%) + the operation assessment (30%)
Final Exam: Closed Book Exam"
368,health science,"The comprehensive assessment of theoretical grades adopts closed-book and written examinations, accounting for 50% of the total grades
The comprehensive assessment of the usual performance is to fully reflect the students' ability to comprehend the operation and the learning attitude.
Divide the students' usual grades into three parts: the usual attendance grades (accounting for 10%) and the usual homework grades (accounting for 10%) accounts for 20% of the total assessment score, and practical training results account for 30% of the total assessment score.
2. Assessment Standards
Establish the examination paper library and scoring standards for theoretical courses.
"
369,computer science,"Using a five-point system, it aims to assess students' project design ability in combination with the actual application of network integrated wiring technology, as well as students' document writing, teamwork spirit and display ability. The score distribution ratio is as follows: paper documents: 20%; defence: 20%; Project organization and technology realization ability: 60%."
370,health science,"Process evaluation: The total score of the theoretical assessment includes the usual grades and the final grades. The usual grades account for 20%. The usual grades are composed of attendance, classroom questions, homework, training reports, etc., and the final grades account for 50%; the skill grades account for 30%.
"
371,engineering,60% of the process assessment and 40% of the comprehensive assessment.
372,engineering,process assessment 60% and comprehensive assessment 40%.
373,engineering,"Implement process assessment + comprehensive assessment, and conduct course assessment according to 7:3. The form of comprehensive assessment is to complete the research report of network hotspot events."
374,health science,"The assessment of this course takes the form of a combination of formative and summative assessment:
Formative assessment accounts for 50%, of which class attendance and extracurricular exercise account for 40%, and physical fitness test accounts for 60%; summative assessment accounts for 50%, which is conducted in the form of a final in-class test."
375,engineering,"Process assessment accounts for 60% (including project completion assessment, classroom assessment, and online assessment), and comprehensive assessment accounts for 40%."
376,engineering,"Process assessment accounts for 60% (including project completion assessment, classroom assessment, and online assessment), and comprehensive test assessment accounts for 40%."
377,food science,"1. knowledge and ability Q&A 5% [in-class selective inspection]
2. classroom attendance + learning attitude 5% [in-class selective inspection]
3. attendance, dress code 10% [assessment of practical training]
4. operation ability 20% [assessment of practical training]
5. training report 10% [assessment of practical training]
6. theoretical knowledge 20% [final appraisal]
7. comprehensive analytical application ability 30% [final comprehensive appraisal]
Student's total score = average score of study unit (50%) + final assessment (50%)"
378,computer science,"It adopts a combination of process assessment and summative assessment. The process assessment includes daily homework, class participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theoretical test and program design practice, accounting for 50% of the total score. "
379,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score, and the final assessment is the final theory exam, accounting for 50% of the total score."
380,food science,"This course adopts a combination of process assessment and summative assessment. Process assessment accounts for 60%, and summative assessment accounts for 40%.
Process assessment includes: experimental skills (10%) + experimental process (20%) + experimental results (10%) + learning attitude and attendance (10%) + classroom interaction (10%);
Summative assessment: take a comprehensive theory and knowledge test."
381,computer science,"It adopts a combination of process assessment and summative assessment. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theory test and work design, accounting for 50% of the total score. "
382,computer science,"It adopts a combination of process assessment and summative assessment. The process assessment includes experience value, daily homework, classroom participation, and attendance, accounting for 50% of the total score. The summative assessment includes final theoretical examination and algorithm design, accounting for 50% of the total score. "
383,computer science,"It adopts a combination of process assessment and summative assessment. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theory test and work design, accounting for 50% of the total score. "
384,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theoretical exam and operational assessment, accounting for 50% of the total score. "
385,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, class participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theory test and operation test, accounting for 50% of the total score. ."
386,health science,"The course takes formative assessment as the main line, and adopts the assessment mode of ""theory + skill + process"": among them, the theory revolves around the job needs to select content, which accounts for 40% of the course grade; the skill test is carried out in three stages according to the situation based on the method of ""student role-playing + work process"", it accounts for 40% of the course grade; the process is completed in the form of attendance, homework (including training reports), classroom questions, etc., accounting for 20% of the course grade."
387,health science,"The ""Rehabilitation Medicine Evaluation Technology"" course is a theory + practice course. Skills play an important role in the evaluation system, and the proportion of skill assessment results is increased. The assessment results are comprehensively evaluated by the usual test, skill assessment, and final exam (including 40% theoretical assessment, 40% practical operation assessment, and 20% usual score)."
388,engineering,"The teaching assessment adopts a combination of process assessment (including classroom assessment (daily performance) and comprehensive process assessment, with 60% of the process assessment and 40% of the comprehensive assessment. If students can obtain the 1+X industrial digital twin modeling and application intermediate vocational skill level certificate, they can directly get the course credits."
389,engineering, 60% of process assessment and 40% of comprehensive assessment.
390,computer science,"It is recommended to use a comprehensive assessment method combining final exam (40%), usual grades (20%), comprehensive project (30%), and innovative design (10%)."
391,health science,"The assessment of this course is in the form of a combination of formative and summative assessment.
Formative assessment accounts for 20% of the total score, mainly online and offline attendance, discussion and interaction, homework, chapter tests, etc.; summative assessment accounts for 80%, of which the final theory test accounts for 75%, and the practical skills assessment accounts for 25%."
392,health science,"The assessment of this course adopts the form of formative assessment and summative assessment.
Formative assessment accounts for 20%, mainly including attendance, discussion and interaction, homework, innovation of equipment works, and presentation of popular science works; summative assessment accounts for 80%, in the form of final theoretical examination."
393,health science,"The assessment of this course is in the form of a combination of process assessment and summative assessment.
Formative assessment accounts for 20%, mainly online attendance, discussion and interaction, homework, chapter test, work display, etc.
The summative assessment accounts for 80%, which is in the form of a combination of final theoretical examination and practical skills assessment."
394,health science,"The assessment of this course is in the form of a combination of process assessment and summative assessment.
Formative assessment accounts for 20%, mainly online attendance, discussion and interaction, homework, chapter tests, classroom performance, etc.
The summative assessment accounts for 80% and adopts the form of a combination of final theoretical examination and practical skills assessment. The practical skills assessment is completed by the schoolteachers and the clinical teachers of the hospital."
395,health science,"The assessment is carried out in a process-based assessment method, and students are motivated through multi-faceted and whole-process assessment. The assessment of this course takes the form of a combination of formative assessment (50%) and summative assessment (50%). The formative assessment method is the usual performance (40%, including attendance and class participation 20%, homework 20%), the usual operation assessment 60%; the summative assessment is the final theoretical assessment (50%)."
396,health science,"Implement a combination of process assessment, online and offline diversified assessment methods: final assessment 60% + process assessment 40% (homework 10% + experimental report 10% + classroom attendance 10% + comprehensive quality 10%)"
397,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score. The final assessment includes the final theoretical exam and website work design, accounting for 50% of the total score. "
398,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, classroom participation, and attendance, accounting for 50% of the total score. The final assessment includes the final theoretical exam and APP work design, accounting for 50% of the total score. "
399,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, class participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theoretical exam and project work design, accounting for 50% of the total score. "
400,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, class participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theory test and project work design, accounting for 50% of the total score. "
401,computer science,"A combination of process assessment and summative assessment is adopted. The process assessment includes daily homework, class participation, and attendance, accounting for 50% of the total score. The summative assessment includes the final theory test and APP design, accounting for 50% of the total score. ."
402,health science,"Implement a combination of diversified assessment methods including process assessment, online and offline assessment:
Final assessment 70% + process assessment 30% (case discussion 50%, operation assessment 30%, quality assessment 10%, personal presentation 10%)."
403,health science,"Implement a combination of process assessment, online and offline diversified assessment methods: final assessment 70% + process assessment 30% (case discussion 50%, operation assessment 30%, quality assessment 10%, personal presentation 10%)."
404,health science,"1. Course assessment: The teaching assessment of this course is a combination of 60% of the total score of the process assessment (task assessment) and 40% of the final assessment (course assessment).
(1) Process assessment 60%: The offline assessment includes three aspects: learning discipline, learning attitude and professionalism, practical exercises, and operation assessment, each with a weight of 25%, 25%, and 50%. Online assessment includes process learning (learning time in cloud classroom, asking questions, submitting homework), unit test, and passing the online course-end exam, each accounting for 50%  of the assessment weight. Process assessment = 50% offline assessment (learning attitude and professionalism  7.5% + practice operation 7.5% + operation assessment 15%) + 50% online assessment (process learning 15% + passing exams 15%)
(2) Final assessment 40%: 80% theory + 20% practice.
"
405,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on students' ideals and beliefs, value orientation, political beliefs and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
The total grade is composed of final examination grade (60%) + usual grade (20%) + practical training assessment (10%) + homework (10%)
Final Exam: Open Book Exam"
406,health science,"Usual grade 50% (10% attendance rate, 10% homework, 10% interactive activity, 20% teaching practice activity) + final assessment grade (50%)"
407,health science,"Implement a combination of diversified course assessment methods including process assessment, online and offline assessment: final assessment 50% + practical training assessment 25% + process assessment 25% (usual performance 5%, integrated quality assessment 15%, personal presentation 5%)"
408,health science,Homework and daily test (25%) + specialist practical skills assessment (25%) + final exam (50%)
409,health science,"1. Course assessment: The teaching assessment of this course is composed of 40% of the total score of the process assessment (task assessment) and 40% of the total score of the final assessment (course assessment).
(1) Process assessment 40%: Offline assessment includes four aspects: learning discipline and learning attitude, professionalism, practice operation, and operation assessment, each accounting for 15%, 25%, 25%, and 35% of the weight. Online assessment includes process learning (learning time in cloud classroom, asking questions, submitting homework), unit test, and passing the online exam at the end of the course, each accounting for 50% and 50%. Process assessment = 50% offline assessment (learning attitude and professionalism + operation practice + operation assessment) + 50% online assessment (process learning + passing exams).
(2) Final assessment: 50% theory + 50% practice.
"
410,health science,"1. Course assessment: The teaching assessment of this course is composed of 40% of the process assessment (task assessment) and 40% of the final assessment (course assessment).
(1) Process assessment: Offline assessment includes four aspects: learning discipline and learning attitude, professionalism, practice operation, and operation assessment, each accounting for 15%, 25%, 25%, and 35%. Online assessment includes process learning (learning time in cloud classroom, asking questions, submitting homework), unit test, and passing the online exam at the end of the course, each accounting for 50% and 50%.
Process assessment = 50% offline assessment (learning attitude and professionalism + practice operation + operation assessment) + 50% online assessment (process learning + passing grades).
(2) End-of-course assessment: 50% theory + 50% practice.
2. Moral education assessment:
(2) Student moral education assessment: 20% for ideology and morality, 15% for culture and art, 15% for physical and mental quality, 15% for learning behaviour, 15% for civilized life, and 20% for social practice"
411,health science,"50% of the usual grades (5% attendance rate, 5% reading materials, 10% homework, 10% discussion, 20% moral education practice) + final assessment grade (50%)"
412,health science,"50% of the usual grades (5% attendance rate, 5% reading materials, 10% homework, 10% discussion, 20% moral education practice) + final assessment grade (50%)"
413,health science,"The assessment implements the separation of teaching and examination, and adopts the principle of combining one-time assessment and formative assessment. Usual homework and Q&A account for 20%, experimental skills assessment to test physiology experimental operation, design, experimental report writing, etc., accounting for 10%, learning attitude 10%, theory test to test basic concepts and basic theories of physiology, etc., accounting for 60%."
414,health science,"Implement a combination of process assessment, online and offline diversified assessment methods: final assessment 35% + mid-term assessment 15% + process assessment 50% (ideological and political report 10%, experimental assessment 10%, homework assessment 10%, classroom attendance and in-class test 15% and personal presentation 5%)"
415,health science,"Implement process assessment and a combination of online and offline diversified course assessment methods: 50% of the usual grades (10% of class attendance, 10% of homework, 10% of interactive activities, 20% of moral education teaching practice) + final exam results (50%)"
416,health science,"Implement a combination of process assessment, online and offline diversified assessment methods: 50% final assessment, 50% process assessment (20% experimental report, 10% usual homework, 20% classroom performance)"
417,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on examining students' ideals and beliefs, value orientation, political beliefs and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
The total grade is composed of final examination grade (60%) + usual grade (20%) + experimental assessment (30%) + homework (10%)
The final examination results are conducted by open-book examination."
418,food science,"4. Assessment method: The course is completed in one semester, and the course performance assessment is carried out by a combination of process assessment and project assessment.
Course grade = class performance 30% + experimental report 30% + project assessment 40%. 
Project assessment is based on the project assessment plan submitted at the end of the semester."
419,computer science,This course adopts a combination of process assessment and practical assessment to assess students. Overall assessment score = 50% practical assessment score + 10% attendance on the Learning Pass platform + 10% homework + 10% classroom interaction + 20% final exam.
420,computer science,"A combination of process assessment and summative assessment is adopted. The online process assessment includes experience value, daily homework, classroom participation, and attendance, accounting for 50% of the total score. The offline summative assessment includes final theoretical examination and software test report, which accounts for 50% of the total grade."
421,computer science,"It is recommended to use a comprehensive assessment method combining final examination (50%), usual homework (30%), and usual attendance (20%) "
422,food science,"Usual assessment 50% (Attendance 10% + Classroom Q&A 15% + Homework 10% + Mid-Term Test 15%) + Final written theoretical test 50%
"
423,food science,"Usual assessment 50% (Attendance 10% + Homework Completion and Quality 10% + Classroom Performance 15% + Quiz 15%) + Final theoretical test 50%
"
424,food science,"Usual assessment 50% (Attendance 10% + Classroom Answering Questions 15% + Homework Completion and Quality 10% +  Staged Quiz 15%) + Final written test 50%
"
425,health science,"1. Usual grade 50% (homework 10% + lab report 10% + classroom attendance 15% + comprehensive quality 15%)
2. Exam score 50%"
426,health science,"Adopting the combination of online and offline, process assessment and summative assessment, online learning accounts for 30% of the total grade (including 20% of resource access + 10% of online homework), offline learning accounts for 70% of the total grade (50% of final exam + 10% of skill operation + 10% of classroom performance), while exploring value-added assessment, pay attention to Individualized development to improve students' comprehensive quality."
427,health science,"Course assessment: usual grades (50%) + final exam grades (50%)
Usual grades: preview learning resources (20%) + attendance (20%) + homework (20%) + classroom performance (20%) + classroom test (20%)
Final Exam: Closed Book Exam"
428,health science,"The combination of online and offline, process assessment and summative assessment is adopted. Online learning accounts for 30% of the total score (including resource access 20% + online homework 10%) and offline learning accounts for 70% of the total score.
(35% of final exam + 25% of skill operation + 10% of usual performance in class), while exploring value-added assessment, focusing on individual development, and improving students' comprehensive quality. At the same time, it pays attention to individualized assessment, explores value-added assessment, and improves students' comprehensive quality."
429,computer science,"This course adopts a combination of online and offline, process assessment and final assessment. Process assessment accounts for 40% of the total score (including cloud classroom learning 10% + classroom activities 15% + homework 10% + class performance 5%), the final assessment accounts for 60% of the total grade (final exam 60%), focusing on process and learning input, emphasizing the weight of participation assessment, and promoting independent and collaborative learning."
430,health science,"1. Process assessment (accounting for 40% of the total grade): 20% for classroom participation, 10% for homework completion, and 10% for online learning.
2. Final assessment (accounting for 50% of the total score): 10% for growth and development assessment, 5% for nursing of hospitalized children, 10% for nursing of neonatal diseases, 20% for nursing of common paediatric diseases, and 5% for nursing of common paediatric emergencies.
3. Moral education assessment (accounting for 10% of the total score): 5% for ideological and moral concepts, 5% for labour concepts."
431,health science,"1. Process assessment (accounting for 40% of the total grade): 20% for classroom participation, 10% for homework completion, and 10% for online learning;
2. Final assessment (accounting for 50% of the total score): 10% for safety protection, 5% for life care, 10% for daily health care, 20% for early development guidance, and 5% for development environment creation;
3. Moral education assessment (accounting for 10% of the total score): 5% for ideological and moral concepts, 5% for labour concepts."
432,health science,"A combination of process assessment and summative assessment is adopted. Usually learning accounts for 40% of the total score (including 10% of resource access + 10% of online homework + 20% of daily performance), and the final exam accounts for 60% of the total score. Diversified assessment, focusing on individual development of students, and improving students' comprehensive quality and ability."
433,health science,"A combination of process assessment (40% process assessment) + summative assessment (60% final theoretical exam) is adopted. The process assessment includes attendance (10%), questioning (10%), homework (10%), case design and role-playing (10%); the final theoretical examination is composed of papers set by the college (60% of the test score); At the same time, multi-subject assessment such as student self-assessment, peer assessment, and double-tutor assessment are carried out to achieve full participation in the assessment."
434,health science,"The teaching assessment of this course is composed of 40% of the total score of the process assessment (task assessment) and 60% of the total score of the final assessment (course assessment).
1. Process assessment 40%: Offline assessment includes three aspects: learning discipline, learning attitude and classroom presentation, each accounting for 25%, 25% and 50% of the weight. Online assessment includes process learning (cloud classroom learning time, asking questions, submitting homework), unit test, and passing the online exam at the end of the course, each accounting for 50% and 50% of the assessment weight. Process assessment = 50% offline assessment (study discipline 5% + learning attitude 5% + classroom display 10%) + 50% online assessment (process learning 10% + passing exams 10%).
2. Final assessment 60%: closed-book examination."
435,health science,"1. Course assessment: The teaching assessment of this course is a combination of process assessment (accounting for 40% of the total grade) and final assessment (accounting for 60% of the total grade).
(1) Process assessment: Offline assessment includes three aspects: learning discipline, learning attitude, and classroom presentation, each accounting for 25%, 25%, and 50% of the weight. Online assessment includes process learning (learning time in cloud classroom, asking questions, submitting homework), unit test, and passing the course-completion online exam, each accounting for 50%. Process assessment = 50% offline assessment (study discipline + learning attitude + classroom presentation) + 50% online assessment (process learning + passing exams).
(2) Final assessment: closed-book examination.
"
436,computer science,"Class A is recommended to use a comprehensive assessment that combines 30% of process assessment (homework + attendance + learning performance), 20% of staged assessment (mid-term test or class quiz) and 50% of summative assessment (final exam). 
"
437,food science,Comprehensive score: test score × 70% + usual score × 20% + learning attitude × 10%
438,computer science,"Learning Target:
On-the-job internship for graduates is the last important teaching section in the teaching training plan. Through on-the-job internship, it is an important practical section to exercise and cultivate students' ability to adapt to the society, provide comprehensive job skills, and comprehensively cultivate students' comprehensive quality. It is also an important guarantee for improving teaching quality and school-running level.

Learning Content:
Through on-the-job internship, enter the society, enter the enterprise, and carry out practical exercise.
Teaching organization and implementation principles:
1. on-the-job internship, students are assigned to specific jobs to complete specific work tasks.
2. Teachers in the school adopt a combination of centralized guidance and decentralized guidance, go to the site regularly to provide guidance, and guide students through telephone, Internet, and other methods during the rest of the time.
3. The secondary college conducts regular patrol inspections. The second-level college cooperates with the college or independently conducts regular inspections and arranges the director of the teaching and research section, teaching supervisors and other personnel to conduct regular inspections at the on-the-job internship unit to understand the on-site student internship situation and solve related problems.
4. A combination of enterprise assessment and school instructor assessment.

The method of enterprise assessment (60%) + school assessment (40%) is adopted.
1.	Enterprise assessment Criteria
Scoring Items and Criteria-Reference points
Work industriously in production and service front-line, actively participate in on-the-job internship, and have a strong sense of responsibility (10)
Not afraid of getting dirty, not afraid of getting tired, hard-working, courageous in practice, humble attitude, diligent and inquiring (10)
Be able to abide by the company's rules and regulations, not be late, not leave early, and meet the company's attendance requirements (10)
In the process of on-the-job internship, can combine theory with practice and complete the job well (10)
During the internship, I can get along well with other colleagues, have close cooperation, and there is no intensification of conflicts (10)
The ""Internship Manual"" is standard and neat, and the weekly internship journal and internship summary are of high quality. (50)
In the on-the-job internship, participate in the organization, implementation, and completion of work (or projects) other than the tasks of the post, or have technological reform and innovation achievements (completed independently or in cooperation with others), or obtained awards (with supporting materials) due to outstanding achievements in the post-work note: additional bonuses	 (10)
2.	School assessment Criteria
Scoring Items and Criteria	-Reference points
Participate in on-the-job internships as required, abide by the rules and regulations of the internship unit, obey the arrangements, study hard, respect the instructors, unite, and cooperate, and are well received by the unit (10)
During the internship, can often keep in touch with parents, counsellors, and instructors, and report the work experience  during the internship in a timely manner (10)
Strictly follow the requirements of the ""on-the-job internship Task Book"" of each major, and successfully complete the on-the-job internship task (30)
Make timely and detailed records of off-campus internships, and independently complete internship reports with profound content (30)"
439,computer science,"1. Process assessment: Students’ usual scores will be comprehensively given in terms of usual quizzes (20%), classroom interaction (20%), information-based teaching (20%), attendance (20%), and online tests (20%).
2. The composition of the overall assessment score of the semester (percentage scoring system):
Semester general assessment grade = final closed-book exam (50%) + usual grade (50%)"
440,computer science,"It focuses on assessing students' ability to use corresponding software to develop actual project design, comprehensively evaluate students' ability to operate classroom projects, comprehensively design practical project design, and comprehensively evaluate students' classroom project operations and comprehensive design effects. Among them: classroom performance (including attendance) accounts for 30%, and comprehensive design effect accounts for 70%."
441,computer science,"It focuses on assessing students' ability to use corresponding software to design virtual reality actual projects, and assesses students' classroom project operations and comprehensive design effects. Among them: classroom performance (including attendance) accounts for 30%, comprehensive design effect accounts for 70%."
442,health science,"The assessment of this course adopts the form of formative assessment and summative assessment.
Formative assessment accounts for 30%, mainly including attendance, classroom performance, discussion and interaction, assignments, etc.; Summative assessment accounts for 70%, and the final assessment is based on the results of graduation design."
443,computer science,"1. Examination form
Process assessment and summative assessment are combined.
2. Score assessment
Course grade = process assessment (50%) + summative assessment (50%). Process assessment consists of classroom performance (10%), online learning (20%) and comprehensive practice (20%), in which comprehensive practice implements a one-vote veto system, that is, those who do not participate in comprehensive practice will receive zero points for their usual grades; the summative assessment is a final closed-book exam, which mainly assesses students’ understanding and mastery of the basic knowledge of the course. and the use of a Marxist standpoint, and the ability to analyse and solve problems with viewpoints and methods and strive to comprehensively and objectively reflect students' ideological and moral qualities and legal literacy."
444,computer science,"1. Process assessment: Students’ usual scores will be comprehensively given in terms of usual quizzes (20%), classroom interaction (20%), information-based teaching (20%), attendance (20%), and online tests (20%).
2. The composition of the overall assessment score of the semester (percentage scoring system)
Semester general assessment grade = final closed book exam (50%) + usual grade (50%)"
445,computer science,"This course uses a combination of process assessment and summative assessment.
1. Process assessment accounts for 50% of the total grade, including 10% for disciplinary attitude, classroom participation, and homework, 20% for online learning, and 20% for comprehensive practice. The process assessment adopts a one-vote veto system, that is, the process assessment score is zero in the following situations: 3 times of unexcused absences or failure to participate in comprehensive practice and online learning.
2. Summative assessment accounts for 50% of the total score, and the paperless examination platform is used to take closed-book examinations."
446,computer science,"This course uses a combination of process assessment and summative assessment.
1. Process assessment accounts for 50% of the total grade, of which disciplinary attitude, classroom participation and homework account for 10%, online learning accounts for 20%, and comprehensive practice accounts for 20%. The process assessment adopts a one-vote veto system, that is, the process assessment score is zero in the following situations: three unexcused absences or failure to participate in comprehensive practice and online learning.
2. Summative assessment accounts for 50% of the total grade, and the closed-book examination method is adopted using the online examination platform."
447,computer science,"A comprehensive assessment method combining usual performance (30%), process assessment (30%) and final assessment (40%) is adopted."
448,food science,"(5) Assessment method: total assessment score = 30% (usual assessment) + 20% (process assessment) + 50% (final assessment)
(6) Recording method of results: percentage scoring system"
449,food science,30% of usual grades (50% of class attendance and interaction + 50% of classroom homework and quizzes; both online and offline) + 20% of staged test (online A-level mock test) + 50% of final test [written test] (A-level Application essay) + Oral test (2 people pair to conduct a topical conversation)]
450,health science,"The content of the assessment includes:
Learning attitude and comprehensive quality performance, focusing on examining students' ideals and beliefs, value orientation, political beliefs, and social responsibility;
Knowledge and skills assessment, focusing on examining the mastery of knowledge and skills;
Course assessment: usual grades (50%) + final exam grades (50%)
Usual grades: attendance (20%) + homework (20%) + attitude and discipline (20%) + questioning (40%)"
451,health science,"1. Course assessment: The teaching assessment of this course is a combination of process assessment (task assessment) and final assessment (course assessment). Among them, the process assessment accounts for 30% of the total score; the summative assessment accounts for 70% of the total score.
(1) Process assessment accounts for 30% of the total course grade. Process assessment is an important section in the education quality assurance system. The assessment results are composed of three parts: learning attitude, after-school assignments, and classroom tests. Score ratios for the three parts (recommended):
Learning performance (25%), assignments (40%), course practice (25%), classroom tests (10%). The process assessment should reflect the task assessment of the learning process, including learning attitude during face-to-face teaching, scoring assignments, experimental practice, case discussion, online learning, group activities, micro-classes and MOOC learning, and participation in tutoring, etc.: Formative assessment mechanism to ensure teaching effect.
Summative assessment accounts for 70% of the total grade of the course, in the form of a final closed-book examination. Among them, mastering content accounts for 60%, familiar content accounts for 30%, understanding content accounts for 5%, and expanding content accounts for 5%. The whole assessment is mainly to understand the students' mastery of the teaching objectives, teaching content and teaching knowledge points.
"
